frame,time_sec,timecode,gray_diff,hist_diff,edge_diff,composite
99,4.129,00:04.13,0.001109,0.006479,0.000185,0.002896
100,4.171,00:04.17,0.010473,0.036013,0.011088,0.019473
101,4.213,00:04.21,0.000968,0.013848,0.000278,0.005407
102,4.254,00:04.25,0.010131,0.023878,0.012083,0.015137
103,4.296,00:04.30,0.001528,0.055161,0.000718,0.020218
104,4.338,00:04.34,0.0091,0.02268,0.011759,0.014119
105,4.379,00:04.38,0.000243,0.009375,0.000278,0.003443
106,4.421,00:04.42,0.01464,0.017515,0.012801,0.015462
107,4.463,00:04.46,0.000251,0.007593,0.000278,0.002823
108,4.505,00:04.50,0.010538,0.021123,0.012106,0.0144
109,4.546,00:04.55,0.000314,0.008367,0.001065,0.003208
110,4.588,00:04.59,0.010619,0.020567,0.012986,0.014337
111,4.63,00:04.63,0.000117,0.004903,0.000324,0.001813
112,4.671,00:04.67,0.011504,0.024769,0.01338,0.016334
113,4.713,00:04.71,0.000157,0.00837,0.000671,0.003083
114,4.755,00:04.75,0.011673,0.020314,0.013356,0.014866
115,4.796,00:04.80,0.000151,0.009733,0.000139,0.003504
116,4.838,00:04.84,0.015279,0.016464,0.012917,0.015458
117,4.88,00:04.88,0.000149,0.009605,0.000463,0.00349
118,4.922,00:04.92,0.014691,0.021295,0.013449,0.016878
119,4.963,00:04.96,0.000105,0.005073,0.000162,0.001849
120,5.005,00:05.01,0.016499,0.03017,0.014028,0.021037
121,5.047,00:05.05,0.00036,0.00421,6.9e-05,0.001679
122,5.088,00:05.09,0.015806,0.016325,0.013681,0.015775
123,5.13,00:05.13,0.000237,0.00715,0.000301,0.002663
124,5.172,00:05.17,0.003279,0.013359,0.00838,0.007317
125,5.214,00:05.21,0.000271,0.010304,0.000162,0.003772
126,5.255,00:05.26,0.00352,0.014688,0.008727,0.00795
127,5.297,00:05.30,0.000216,0.008087,0.000278,0.002977
128,5.339,00:05.34,0.002498,0.025515,0.006389,0.010943
129,5.38,00:05.38,0.000321,0.010189,0.000417,0.003784
130,5.422,00:05.42,0.002704,0.019191,0.008542,0.009059
131,5.464,00:05.46,0.000411,0.013402,0.001528,0.005069
132,5.506,00:05.51,0.002911,0.018671,0.008542,0.00899
133,5.547,00:05.55,0.00064,0.013327,0.001667,0.005183
134,5.589,00:05.59,0.002322,0.012471,0.0075,0.006392
135,5.631,00:05.63,0.000106,0.005145,0.000162,0.001875
136,5.672,00:05.67,0.00498,0.024081,0.010764,0.012244
137,5.714,00:05.71,0.000418,0.010934,0.000347,0.004092
138,5.756,00:05.76,0.00443,0.014619,0.010417,0.008595
139,5.797,00:05.80,0.000149,0.007545,0.000231,0.002745
140,5.839,00:05.84,0.00487,0.018959,0.011227,0.010437
141,5.881,00:05.88,0.000247,0.005861,0.000532,0.00224
142,5.923,00:05.92,0.004746,0.016533,0.011435,0.00954
143,5.964,00:05.96,0.000109,0.007572,0.000463,0.002757
144,6.006,00:06.01,0.005833,0.016833,0.011227,0.010223
145,6.048,00:06.05,0.000355,0.012365,0.000926,0.004616
146,6.089,00:06.09,0.005506,0.014845,0.011574,0.009381
147,6.131,00:06.13,0.00017,0.005703,0.000486,0.002138
148,6.173,00:06.17,0.004631,0.020163,0.01125,0.010729
149,6.215,00:06.21,0.000525,0.01321,0.00213,0.005125
150,6.256,00:06.26,0.004293,0.014241,0.010347,0.00838
151,6.298,00:06.30,0.000203,0.010349,0.000162,0.00375
152,6.34,00:06.34,0.0092,0.019288,0.011366,0.012947
153,6.381,00:06.38,0.000219,0.008261,0.000324,0.003044
154,6.423,00:06.42,0.008138,0.014684,0.010856,0.010701
155,6.465,00:06.46,0.000424,0.010845,0.000463,0.004075
156,6.507,00:06.51,0.009704,0.019315,0.010162,0.013113
157,6.548,00:06.55,0.000245,0.009979,0.000116,0.003639
158,6.59,00:06.59,0.009067,0.018027,0.009421,0.012238
159,6.632,00:06.63,0.000335,0.01198,0.000185,0.004396
160,6.673,00:06.67,0.008718,0.024105,0.008079,0.014039
161,6.715,00:06.72,0.000294,0.017995,0.000417,0.006502
162,6.757,00:06.76,0.007305,0.020297,0.007338,0.011855
163,6.798,00:06.80,0.000325,0.007231,0.000185,0.002728
164,6.84,00:06.84,0.006948,0.027265,0.006921,0.014056
165,6.882,00:06.88,0.000963,0.026913,0.001528,0.010102
166,6.924,00:06.92,0.005784,0.04006,0.007477,0.01795
167,6.965,00:06.97,0.000266,0.005306,0.000139,0.002017
168,7.007,00:07.01,0.005633,0.022873,0.005995,0.011703
169,7.049,00:07.05,0.000132,0.007646,0.000139,0.002762
170,7.09,00:07.09,0.004719,0.014886,0.005139,0.008319
171,7.132,00:07.13,0.000136,0.008596,0.000139,0.003098
172,7.174,00:07.17,0.003375,0.011282,0.005324,0.006337
173,7.216,00:07.22,9.4e-05,0.006453,0.000255,0.002336
174,7.257,00:07.26,0.003307,0.018368,0.004514,0.008699
175,7.299,00:07.30,0.000214,0.010967,0.00037,0.003993
176,7.341,00:07.34,0.00274,0.029787,0.003843,0.012317
177,7.382,00:07.38,0.001185,0.033442,0.011435,0.0135
178,7.424,00:07.42,0.002559,0.030503,0.007176,0.012801
179,7.466,00:07.47,0.000955,0.023568,0.001898,0.008964
180,7.508,00:07.51,0.002796,0.03329,0.004653,0.013655
181,7.549,00:07.55,0.001082,0.028046,0.001875,0.010599
182,7.591,00:07.59,0.003793,0.043909,0.005486,0.018003
183,7.633,00:07.63,0.000856,0.016763,0.001296,0.006467
184,7.674,00:07.67,0.002049,0.014691,0.004028,0.006672
185,7.716,00:07.72,0.000579,0.014365,0.001134,0.005459
186,7.758,00:07.76,0.001772,0.01291,0.003912,0.005884
187,7.799,00:07.80,0.001056,0.02072,0.001597,0.007993
188,7.841,00:07.84,0.001932,0.014251,0.004468,0.006497
189,7.883,00:07.88,0.000853,0.011831,0.002685,0.004878
190,7.925,00:07.92,0.001376,0.011509,0.003657,0.00515
191,7.966,00:07.97,0.000244,0.004804,0.000139,0.00183
192,8.008,00:08.01,0.002195,0.032994,0.003981,0.013153
193,8.05,00:08.05,0.001147,0.027901,0.000417,0.010438
194,8.091,00:08.09,0.00124,0.013585,0.002824,0.005719
195,8.133,00:08.13,0.000568,0.010243,0.000324,0.00393
196,8.175,00:08.17,0.001148,0.009746,0.002824,0.004325
197,8.217,00:08.22,0.001065,0.014808,0.003171,0.006086
198,8.258,00:08.26,0.001175,0.012117,0.003171,0.005204
199,8.3,00:08.30,0.000267,0.008655,0.000625,0.003239
200,8.342,00:08.34,0.001882,0.012537,0.003287,0.005752
201,8.383,00:08.38,0.000114,0.004348,0.000116,0.001596
202,8.425,00:08.43,0.002422,0.013429,0.004282,0.006461
203,8.467,00:08.47,0.000421,0.012574,0.001528,0.004785
204,8.509,00:08.51,0.002092,0.018477,0.003912,0.008009
205,8.55,00:08.55,0.000278,0.009567,0.000671,0.003569
206,8.592,00:08.59,0.001621,0.012868,0.003056,0.005701
207,8.634,00:08.63,0.000244,0.015229,0.000602,0.005524
208,8.675,00:08.68,0.0018,0.010665,0.003148,0.005038
209,8.717,00:08.72,0.000142,0.006861,0.000162,0.002495
210,8.759,00:08.76,0.00153,0.010676,0.003079,0.004886
211,8.8,00:08.80,0.000323,0.010887,0.000694,0.004057
212,8.842,00:08.84,0.001469,0.017523,0.003773,0.007318
213,8.884,00:08.88,0.000401,0.011807,0.001019,0.004455
214,8.926,00:08.93,0.001514,0.009191,0.00294,0.004344
215,8.967,00:08.97,0.00021,0.008737,0.000556,0.003229
216,9.009,00:09.01,0.002437,0.015783,0.005,0.007365
217,9.051,00:09.05,0.001028,0.015176,0.003472,0.006224
218,9.092,00:09.09,0.001641,0.005879,0.003056,0.003266
219,9.134,00:09.13,0.000221,0.007537,6.9e-05,0.002766
220,9.176,00:09.18,0.001414,0.01345,0.002731,0.005759
221,9.218,00:09.22,0.000162,0.005806,0.000324,0.002154
222,9.259,00:09.26,0.002089,0.011945,0.003125,0.005642
223,9.301,00:09.30,0.000413,0.012874,0.000579,0.004791
224,9.343,00:09.34,0.003253,0.051489,0.004028,0.020213
225,9.384,00:09.38,0.000485,0.026268,0.00037,0.009498
226,9.426,00:09.43,0.001968,0.015394,0.002963,0.006767
227,9.468,00:09.47,0.000355,0.010263,0.000324,0.00382
228,9.51,00:09.51,0.001438,0.013519,0.003125,0.005835
229,9.551,00:09.55,0.000204,0.008789,0.000185,0.003207
230,9.593,00:09.59,0.001463,0.008893,0.002431,0.00416
231,9.635,00:09.63,0.000334,0.009013,0.000162,0.003355
232,9.676,00:09.68,0.001755,0.012649,0.003102,0.005703
233,9.718,00:09.72,0.000384,0.0117,0.000486,0.004355
234,9.76,00:09.76,0.001273,0.007937,0.002708,0.003749
235,9.801,00:09.80,0.00043,0.012403,0.000718,0.004649
236,9.843,00:09.84,0.001392,0.007481,0.003194,0.003703
237,9.885,00:09.88,0.000338,0.009676,0.000926,0.003665
238,9.927,00:09.93,0.00176,0.010436,0.00419,0.005039
239,9.968,00:09.97,0.000573,0.012666,0.001806,0.004929
240,10.01,00:10.01,0.00198,0.022169,0.003681,0.009217
241,10.052,00:10.05,0.000635,0.01443,0.001204,0.00552
242,10.093,00:10.09,0.001281,0.010857,0.003519,0.004856
