Frame Number,Timecode,content_val,delta_edges,delta_hue,delta_lum,delta_sat
2,00:00:00.042,4.218424479166666,33.99688720703125,5.09149169921875,0.18162027994791666,7.382161458333333
3,00:00:00.083,0.32676188151041663,7.41363525390625,0.3674112955729167,0.025309244791666668,0.5875651041666666
4,00:00:00.125,0.18467203776041666,3.08685302734375,0.17805989583333334,0.0174560546875,0.3585001627604167
5,00:00:00.167,0.2592366536458333,3.27880859375,0.16243489583333334,0.020060221354166668,0.59521484375
6,00:00:00.209,1.4866468641493056,13.115234375,2.2393595377604165,0.06486002604166667,2.1557210286458335
7,00:00:00.250,0.16134982638888887,3.44482421875,0.17401123046875,0.017964680989583332,0.2920735677083333
8,00:00:00.292,0.13768853081597224,3.2061767578125,0.12076822916666667,0.011820475260416666,0.2804768880208333
9,00:00:00.334,0.5190565321180555,7.491455078125,0.4557088216145833,0.025960286458333332,1.07550048828125
10,00:00:00.375,2.55438232421875,20.87646484375,3.7838948567708335,0.1317138671875,3.7475382486979165
11,00:00:00.417,0.21949598524305555,4.005126953125,0.22991943359375,0.019694010416666668,0.40887451171875
12,00:00:00.459,0.3103841145833333,3.7664794921875,0.3489990234375,0.018025716145833332,0.5641276041666666
13,00:00:00.501,3.9513549804687504,20.6585693359375,3.4839070638020835,0.14796956380208334,8.222188313802084
14,00:00:00.542,1.3250189887152777,6.99859619140625,1.3918660481770833,0.04681396484375,2.536376953125
15,00:00:00.584,0.22617594401041666,3.12835693359375,0.20597330729166666,0.012654622395833334,0.45989990234375
16,00:00:00.626,0.14427354600694445,1.88323974609375,0.13031005859375,0.010965983072916666,0.2915445963541667
17,00:00:00.667,136.65490044487845,62.6708984375,63.891153971354164,243.6700439453125,102.40350341796875
18,00:00:00.709,5.955681694878472,0.0,12.276346842447916,0.6383463541666666,4.952351888020833
19,00:00:00.751,6.373372395833335,0.0,14.955342610677084,0.4227701822916667,3.74200439453125
20,00:00:00.792,3.395317925347222,0.0,7.532368977864583,0.21455891927083334,2.43902587890625
21,00:00:00.834,3.3870442708333335,0.0,8.087727864583334,0.16593424479166666,1.907470703125
22,00:00:00.876,2.4302435980902777,0.0,5.643208821614583,0.10660807291666667,1.5409138997395833
23,00:00:00.918,5.405449761284722,0.0,13.027730305989584,0.190185546875,2.9984334309895835
24,00:00:00.959,4.674906412760417,0.0,10.145955403645834,0.31072998046875,3.5680338541666665
25,00:00:01.001,5.273898654513888,0.0,10.7120361328125,0.4424031575520833,4.667256673177083
26,00:00:01.043,4.685960557725695,0.0,8.35931396484375,0.6173502604166666,5.081217447916667
27,00:00:01.084,6.434970431857639,0.2801513671875,11.1143798828125,1.1664225260416667,7.02410888671875
28,00:00:01.126,7.999532063802083,2.427978515625,12.185343424479166,3.20751953125,8.605733235677084
29,00:00:01.168,10.470011393229166,5.04791259765625,12.694539388020834,6.0582275390625,12.657267252604166
30,00:00:01.210,11.0062255859375,3.52783203125,12.41632080078125,6.52276611328125,14.07958984375
31,00:00:01.251,15.503139919704862,9.35394287109375,14.083597819010416,11.204610188802084,21.221211751302082
32,00:00:01.293,13.243238661024305,16.04644775390625,10.928955078125,10.285970052083334,18.514790852864582
33,00:00:01.335,14.333218044704862,12.783203125,11.831095377604166,11.406148274739584,19.762410481770832
34,00:00:01.376,18.473612467447918,16.082763671875,12.2493896484375,16.41180419921875,26.7596435546875
35,00:00:01.418,19.37563747829861,25.36407470703125,16.624165852864582,14.998575846354166,26.504170735677082
36,00:00:01.460,19.899434407552082,31.9268798828125,15.214579264322916,16.176920572916668,28.306803385416668
37,00:00:01.502,22.070271809895832,41.36383056640625,16.50421142578125,18.1861572265625,31.52044677734375
38,00:00:01.543,24.019904242621532,49.25994873046875,16.924092610677082,20.707743326822918,34.427876790364586
39,00:00:01.585,23.467183430989582,49.70611572265625,17.3028564453125,20.188618977864582,32.910074869791664
40,00:00:01.627,20.812764485677082,46.588134765625,17.418863932291668,16.556864420572918,28.462565104166668
41,00:00:01.668,20.02370876736111,40.79833984375,18.998006184895832,14.557271321614584,26.515848795572918
42,00:00:01.710,19.65066189236111,38.0487060546875,18.395792643229168,14.150533040364584,26.405659993489582
43,00:00:01.752,21.427836100260418,37.63885498046875,21.368611653645832,14.805521647135416,28.109375
44,00:00:01.793,22.224907769097218,37.48321533203125,20.993245442708332,15.4913330078125,30.190144856770832
45,00:00:01.835,21.291490342881943,37.57659912109375,20.7734375,15.043212890625,28.057820638020832
46,00:00:01.877,22.009514702690968,39.45465087890625,18.817830403645832,16.74822998046875,30.462483723958332
47,00:00:01.919,27.835422092013886,44.03564453125,20.6695556640625,22.53125,40.305460611979164
48,00:00:01.960,25.410169813368054,44.04083251953125,17.98406982421875,21.3411865234375,36.905253092447914
49,00:00:02.002,21.187120225694446,38.54156494140625,14.472900390625,18.189493815104168,30.898966471354168
50,00:00:02.044,16.47106255425347,32.6531982421875,10.874898274739584,14.5364990234375,24.001790364583332
51,00:00:02.085,13.017306857638891,25.59234619140625,9.486531575520834,10.939351399739584,18.62603759765625
52,00:00:02.127,11.011983235677084,22.2149658203125,9.428751627604166,8.478983561197916,15.128214518229166
53,00:00:02.169,10.396355523003471,17.867431640625,8.425944010416666,8.057088216145834,14.706034342447916
54,00:00:02.211,7.808207194010418,15.64178466796875,5.55029296875,6.690897623697917,11.183430989583334
55,00:00:02.252,4.646694607204861,10.27740478515625,2.40045166015625,4.403401692708333,7.13623046875
56,00:00:02.294,1.6234063042534723,5.0531005859375,0.5064697265625,1.6507771809895833,2.7129720052083335
57,00:00:02.336,1.446587456597222,2.64068603515625,0.20029703776041666,1.3706868489583333,2.7687784830729165
